,Fine,On Fire,Burned Out,Escaped the Fire,Escaped Tax
0,6469,7,0,0,0
1,6454,10,10,2,2
2,6422,20,32,2,0
3,6336,41,88,11,11
4,6253,49,167,7,-4
5,6118,62,282,14,18
6,5989,80,395,12,-6
7,5789,94,566,27,33
8,5586,111,756,23,-10
9,5354,148,953,21,31
10,5107,138,1203,28,-3
11,4846,132,1459,39,42
12,4559,166,1716,35,-7
13,4263,152,2019,42,49
14,4022,143,2268,43,-6
15,3627,209,2589,51,57
16,3231,227,2973,45,-12
17,2809,228,3382,57,69
18,2400,218,3803,55,-14
19,2133,160,4142,41,55
20,1846,143,4440,47,-8
21,1571,146,4712,47,55
22,1346,126,4962,42,-13
23,1145,118,5173,40,53
24,910,123,5397,46,-7
25,686,122,5616,52,59
26,504,92,5831,49,-10
27,369,73,5989,45,55
28,249,60,6116,51,-4
29,155,45,6231,45,49
30,114,18,6304,40,-9
31,83,12,6334,47,56
32,46,19,6365,46,-10
33,15,16,6403,42,52
34,14,0,6423,39,-13
