,Fine,On Fire,Burned Out
0,7961,8,0
1,7931,19,16
2,7871,35,54
3,7734,79,147
4,7598,73,281
5,7384,126,441
6,7140,129,679
7,6805,176,961
8,6422,220,1299
9,6012,216,1715
10,5603,220,2117
11,5113,258,2564
12,4656,248,3022
13,4099,295,3533
14,3552,299,4069
15,2984,308,4641
16,2326,300,5296
17,1850,231,5855
18,1478,183,6267
19,1089,213,6643
20,804,134,7002
21,578,117,7247
22,333,127,7488
23,195,70,7687
24,101,51,7803
25,35,36,7883
26,8,17,7932
27,3,3,7953
28,3,0,7956
